state,state_abbr,event_title,event_start_date,event_end_date,event_type,summary,dashboard_relevance,source_name,source_url,source_type,scraped_text_excerpt,confidence,proposed_blurb,review_status,date_accessed,notes,context_priority,state_specificity,verification_status,app_candidate,approval_recommendation
California,CA,ACA Medicaid expansion in effect during dashboard period,2014-01-01,,Medicaid expansion,"KFF reported that California implemented the ACA Medicaid expansion on January 1, 2014; because this predates 2019, it is included as structural context for the 2019-2026 dashboard period.","Expansion status may help contextualize adult enrollment levels, application volume, and state-to-state differences in program mix and coverage pathways.",KFF State Health Facts: Status of State Action on the Medicaid Expansion Decision,https://www.kff.org/affordable-care-act/state-indicator/state-activity-around-expanding-medicaid-under-the-affordable-care-act/,kff,,medium,"California was an ACA Medicaid expansion state during the dashboard period, a structural difference that may help contextualize enrollment and operations patterns.",needs_review,2026-06-22,Implementation predates 2019 but shapes the program structure observed during the dashboard period. Second pass: retain as structured expansion background; too generic to use as the main dashboard blurb by itself.,background_context,structural_background,verified_reputable_secondary,no,background_only
California,CA,12-month postpartum Medicaid coverage extension implemented,2022-05-25,,postpartum extension,"KFF reported that California had implemented a 12-month postpartum Medicaid coverage extension as of March 19, 2026. CMS approved California's state plan amendment on May 25, 2022.","Extended postpartum coverage may help contextualize postpartum retention, maternal coverage continuity, and program mix in public enrollment counts.",KFF Medicaid Postpartum Coverage Extension Tracker,https://www.kff.org/medicaid/medicaid-postpartum-coverage-extension-tracker/,kff,,high,"California had implemented a 12-month postpartum Medicaid coverage extension by May 25, 2022, a policy context that may help explain postpartum coverage continuity in the dashboard period.",needs_review,2026-06-22,"CMS approved California's state plan amendment on May 25, 2022. Second pass: retain as background; postpartum extension is useful but should not be the only blurb unless no stronger state-specific context is found.",background_context,weak_generic,verified_reputable_secondary,no,background_only
Colorado,CO,ACA Medicaid expansion in effect during dashboard period,2014-01-01,,Medicaid expansion,"KFF reported that Colorado implemented the ACA Medicaid expansion on January 1, 2014; because this predates 2019, it is included as structural context for the 2019-2026 dashboard period.","Expansion status may help contextualize adult enrollment levels, application volume, and state-to-state differences in program mix and coverage pathways.",KFF State Health Facts: Status of State Action on the Medicaid Expansion Decision,https://www.kff.org/affordable-care-act/state-indicator/state-activity-around-expanding-medicaid-under-the-affordable-care-act/,kff,,medium,"Colorado was an ACA Medicaid expansion state during the dashboard period, a structural difference that may help contextualize enrollment and operations patterns.",needs_review,2026-06-22,Implementation predates 2019 but shapes the program structure observed during the dashboard period. Second pass: retain as structured expansion background; too generic to use as the main dashboard blurb by itself.,background_context,structural_background,verified_reputable_secondary,no,background_only
Colorado,CO,12-month postpartum Medicaid coverage extension implemented,2023-03-14,,postpartum extension,"KFF reported that Colorado had implemented a 12-month postpartum Medicaid coverage extension as of March 19, 2026. CMS approved Colorado's state plan amendment on March 14, 2023","Extended postpartum coverage may help contextualize postpartum retention, maternal coverage continuity, and program mix in public enrollment counts.",KFF Medicaid Postpartum Coverage Extension Tracker,https://www.kff.org/medicaid/medicaid-postpartum-coverage-extension-tracker/,kff,,high,"Colorado had implemented a 12-month postpartum Medicaid coverage extension by March 14, 2023, a policy context that may help explain postpartum coverage continuity in the dashboard period.",needs_review,2026-06-22,"CMS approved Colorado's state plan amendment on March 14, 2023 Second pass: retain as background; postpartum extension is useful but should not be the only blurb unless no stronger state-specific context is found.",background_context,weak_generic,verified_reputable_secondary,no,background_only
Connecticut,CT,ACA Medicaid expansion in effect during dashboard period,2014-01-01,,Medicaid expansion,"KFF reported that Connecticut implemented the ACA Medicaid expansion on January 1, 2014; because this predates 2019, it is included as structural context for the 2019-2026 dashboard period.","Expansion status may help contextualize adult enrollment levels, application volume, and state-to-state differences in program mix and coverage pathways.",KFF State Health Facts: Status of State Action on the Medicaid Expansion Decision,https://www.kff.org/affordable-care-act/state-indicator/state-activity-around-expanding-medicaid-under-the-affordable-care-act/,kff,,medium,"Connecticut was an ACA Medicaid expansion state during the dashboard period, a structural difference that may help contextualize enrollment and operations patterns.",needs_review,2026-06-22,Implementation predates 2019 but shapes the program structure observed during the dashboard period. Second pass: retain as structured expansion background; too generic to use as the main dashboard blurb by itself.,background_context,structural_background,verified_reputable_secondary,no,background_only
Connecticut,CT,12-month postpartum Medicaid coverage extension implemented,2022-07-26,,postpartum extension,"KFF reported that Connecticut had implemented a 12-month postpartum Medicaid coverage extension as of March 19, 2026. CMS approved Connecticut's state plan amendment on July 26, 2022.","Extended postpartum coverage may help contextualize postpartum retention, maternal coverage continuity, and program mix in public enrollment counts.",KFF Medicaid Postpartum Coverage Extension Tracker,https://www.kff.org/medicaid/medicaid-postpartum-coverage-extension-tracker/,kff,,high,"Connecticut had implemented a 12-month postpartum Medicaid coverage extension by July 26, 2022, a policy context that may help explain postpartum coverage continuity in the dashboard period.",needs_review,2026-06-22,"CMS approved Connecticut's state plan amendment on July 26, 2022. Second pass: retain as background; postpartum extension is useful but should not be the only blurb unless no stronger state-specific context is found.",background_context,weak_generic,verified_reputable_secondary,no,background_only
Delaware,DE,ACA Medicaid expansion in effect during dashboard period,2014-01-01,,Medicaid expansion,"KFF reported that Delaware implemented the ACA Medicaid expansion on January 1, 2014; because this predates 2019, it is included as structural context for the 2019-2026 dashboard period.","Expansion status may help contextualize adult enrollment levels, application volume, and state-to-state differences in program mix and coverage pathways.",KFF State Health Facts: Status of State Action on the Medicaid Expansion Decision,https://www.kff.org/affordable-care-act/state-indicator/state-activity-around-expanding-medicaid-under-the-affordable-care-act/,kff,,medium,"Delaware was an ACA Medicaid expansion state during the dashboard period, a structural difference that may help contextualize enrollment and operations patterns.",needs_review,2026-06-22,Implementation predates 2019 but shapes the program structure observed during the dashboard period. Second pass: retain as structured expansion background; too generic to use as the main dashboard blurb by itself.,background_context,structural_background,verified_reputable_secondary,no,background_only
Delaware,DE,12-month postpartum Medicaid coverage extension implemented,2023-05-15,,postpartum extension,"KFF reported that Delaware had implemented a 12-month postpartum Medicaid coverage extension as of March 19, 2026. CMS approved Delaware's state plan amendment on May 15, 2023.","Extended postpartum coverage may help contextualize postpartum retention, maternal coverage continuity, and program mix in public enrollment counts.",KFF Medicaid Postpartum Coverage Extension Tracker,https://www.kff.org/medicaid/medicaid-postpartum-coverage-extension-tracker/,kff,,high,"Delaware had implemented a 12-month postpartum Medicaid coverage extension by May 15, 2023, a policy context that may help explain postpartum coverage continuity in the dashboard period.",needs_review,2026-06-22,"CMS approved Delaware's state plan amendment on May 15, 2023. Second pass: retain as background; postpartum extension is useful but should not be the only blurb unless no stronger state-specific context is found.",background_context,weak_generic,verified_reputable_secondary,no,background_only
District of Columbia,DC,ACA Medicaid expansion in effect during dashboard period,2014-01-01,,Medicaid expansion,"KFF reported that District of Columbia implemented the ACA Medicaid expansion on January 1, 2014; because this predates 2019, it is included as structural context for the 2019-2026 dashboard period.","Expansion status may help contextualize adult enrollment levels, application volume, and state-to-state differences in program mix and coverage pathways.",KFF State Health Facts: Status of State Action on the Medicaid Expansion Decision,https://www.kff.org/affordable-care-act/state-indicator/state-activity-around-expanding-medicaid-under-the-affordable-care-act/,kff,,medium,"District of Columbia was an ACA Medicaid expansion state during the dashboard period, a structural difference that may help contextualize enrollment and operations patterns.",needs_review,2026-06-22,Implementation predates 2019 but shapes the program structure observed during the dashboard period. Second pass: retain as structured expansion background; too generic to use as the main dashboard blurb by itself.,background_context,structural_background,verified_reputable_secondary,no,background_only
District of Columbia,DC,12-month postpartum Medicaid coverage extension implemented,2022-06-16,,postpartum extension,"KFF reported that District of Columbia had implemented a 12-month postpartum Medicaid coverage extension as of March 19, 2026. CMS approved the District of Columbia's state plan amendment on June 16, 2022.","Extended postpartum coverage may help contextualize postpartum retention, maternal coverage continuity, and program mix in public enrollment counts.",KFF Medicaid Postpartum Coverage Extension Tracker,https://www.kff.org/medicaid/medicaid-postpartum-coverage-extension-tracker/,kff,,high,"District of Columbia had implemented a 12-month postpartum Medicaid coverage extension by June 16, 2022, a policy context that may help explain postpartum coverage continuity in the dashboard period.",needs_review,2026-06-22,"CMS approved the District of Columbia's state plan amendment on June 16, 2022. Second pass: retain as background; postpartum extension is useful but should not be the only blurb unless no stronger state-specific context is found.",background_context,weak_generic,verified_reputable_secondary,no,background_only
Florida,FL,ACA Medicaid expansion not adopted as of May 2026,2026-05-21,,Medicaid expansion,KFF reported that Florida had not adopted the ACA Medicaid expansion as of May 2026.,"Non-expansion status may help contextualize adult eligibility pathways, enrollment levels, and how application and renewal activity compare with expansion states.",KFF State Health Facts: Status of State Action on the Medicaid Expansion Decision,https://www.kff.org/affordable-care-act/state-indicator/state-activity-around-expanding-medicaid-under-the-affordable-care-act/,kff,,high,"Florida remained a non-expansion state as of May 2026, a structural policy difference that may help contextualize enrollment and eligibility patterns in this dashboard.",needs_review,2026-06-22,KFF May 2026 status snapshot. Second pass: retain as structured expansion background; too generic to use as the main dashboard blurb by itself.,background_context,structural_background,verified_reputable_secondary,no,background_only
Florida,FL,12-month postpartum Medicaid coverage extension implemented,,,postpartum extension,"KFF reported that Florida had implemented a 12-month postpartum Medicaid coverage extension as of March 19, 2026. Florida has implemented its postpartum extension through a Section 1115 waiver.","Extended postpartum coverage may help contextualize postpartum retention, maternal coverage continuity, and program mix in public enrollment counts.",KFF Medicaid Postpartum Coverage Extension Tracker,https://www.kff.org/medicaid/medicaid-postpartum-coverage-extension-tracker/,kff,,medium,"KFF reports that Florida implemented a 12-month postpartum Medicaid coverage extension, a policy context that may help explain postpartum coverage continuity in the dashboard period.",needs_review,2026-06-22,Florida has implemented its postpartum extension through a Section 1115 waiver. Second pass: retain as background; postpartum extension is useful but should not be the only blurb unless no stronger state-specific context is found.,background_context,weak_generic,verified_reputable_secondary,no,background_only
Florida,FL,Additional postpartum policy detail noted by KFF,,,postpartum extension,Florida has implemented its postpartum extension through a Section 1115 waiver.,"This additional design detail may help contextualize postpartum retention, eligibility pathways, or who is included in coverage extensions.",KFF Medicaid Postpartum Coverage Extension Tracker,https://www.kff.org/medicaid/medicaid-postpartum-coverage-extension-tracker/,kff,,high,"Florida implemented its 12-month postpartum extension through a Section 1115 waiver, a design detail that may matter when interpreting postpartum-related coverage stability.",needs_review,2026-06-22,Added because the KFF footnote includes a state-specific policy design detail beyond basic implementation status. Second pass: retain as background; postpartum extension is useful but should not be the only blurb unless no stronger state-specific context is found.,background_context,weak_generic,verified_reputable_secondary,no,background_only
Georgia,GA,ACA Medicaid expansion not adopted as of May 2026,2026-05-21,,Medicaid expansion,KFF reported that Georgia had not adopted the ACA Medicaid expansion as of May 2026.,"Non-expansion status may help contextualize adult eligibility pathways, enrollment levels, and how application and renewal activity compare with expansion states.",KFF State Health Facts: Status of State Action on the Medicaid Expansion Decision,https://www.kff.org/affordable-care-act/state-indicator/state-activity-around-expanding-medicaid-under-the-affordable-care-act/,kff,,high,"Georgia remained a non-expansion state as of May 2026, a structural policy difference that may help contextualize enrollment and eligibility patterns in this dashboard.",needs_review,2026-06-22,KFF May 2026 status snapshot. Second pass: retain as structured expansion background; too generic to use as the main dashboard blurb by itself.,background_context,structural_background,verified_reputable_secondary,no,background_only
Georgia,GA,12-month postpartum Medicaid coverage extension implemented,2022-10-27,,postpartum extension,"KFF reported that Georgia had implemented a 12-month postpartum Medicaid coverage extension as of March 19, 2026. CMS approved Georgia's state plan amendment on October 27, 2022.","Extended postpartum coverage may help contextualize postpartum retention, maternal coverage continuity, and program mix in public enrollment counts.",KFF Medicaid Postpartum Coverage Extension Tracker,https://www.kff.org/medicaid/medicaid-postpartum-coverage-extension-tracker/,kff,,high,"Georgia had implemented a 12-month postpartum Medicaid coverage extension by October 27, 2022, a policy context that may help explain postpartum coverage continuity in the dashboard period.",needs_review,2026-06-22,"CMS approved Georgia's state plan amendment on October 27, 2022. Second pass: retain as background; postpartum extension is useful but should not be the only blurb unless no stronger state-specific context is found.",background_context,weak_generic,verified_reputable_secondary,no,background_only
Hawaii,HI,ACA Medicaid expansion in effect during dashboard period,2014-01-01,,Medicaid expansion,"KFF reported that Hawaii implemented the ACA Medicaid expansion on January 1, 2014; because this predates 2019, it is included as structural context for the 2019-2026 dashboard period.","Expansion status may help contextualize adult enrollment levels, application volume, and state-to-state differences in program mix and coverage pathways.",KFF State Health Facts: Status of State Action on the Medicaid Expansion Decision,https://www.kff.org/affordable-care-act/state-indicator/state-activity-around-expanding-medicaid-under-the-affordable-care-act/,kff,,medium,"Hawaii was an ACA Medicaid expansion state during the dashboard period, a structural difference that may help contextualize enrollment and operations patterns.",needs_review,2026-06-22,Implementation predates 2019 but shapes the program structure observed during the dashboard period. Second pass: retain as structured expansion background; too generic to use as the main dashboard blurb by itself.,background_context,structural_background,verified_reputable_secondary,no,background_only
Hawaii,HI,12-month postpartum Medicaid coverage extension implemented,2022-08-16,,postpartum extension,"KFF reported that Hawaii had implemented a 12-month postpartum Medicaid coverage extension as of March 19, 2026. CMS approved Hawaii's state plan amendment on August 16, 2022.","Extended postpartum coverage may help contextualize postpartum retention, maternal coverage continuity, and program mix in public enrollment counts.",KFF Medicaid Postpartum Coverage Extension Tracker,https://www.kff.org/medicaid/medicaid-postpartum-coverage-extension-tracker/,kff,,high,"Hawaii had implemented a 12-month postpartum Medicaid coverage extension by August 16, 2022, a policy context that may help explain postpartum coverage continuity in the dashboard period.",needs_review,2026-06-22,"CMS approved Hawaii's state plan amendment on August 16, 2022. Second pass: retain as background; postpartum extension is useful but should not be the only blurb unless no stronger state-specific context is found.",background_context,weak_generic,verified_reputable_secondary,no,background_only
Idaho,ID,ACA Medicaid expansion in effect during dashboard period,2020-01-01,,Medicaid expansion,"KFF reported that Idaho implemented the ACA Medicaid expansion on January 1, 2020.","Expansion status may help contextualize adult enrollment levels, application volume, and state-to-state differences in program mix and coverage pathways.",KFF State Health Facts: Status of State Action on the Medicaid Expansion Decision,https://www.kff.org/affordable-care-act/state-indicator/state-activity-around-expanding-medicaid-under-the-affordable-care-act/,kff,,high,"Idaho was an ACA Medicaid expansion state during the dashboard period, a structural difference that may help contextualize enrollment and operations patterns.",needs_review,2026-06-22,"Implementation date falls within the dashboard period. KFF lists ballot initiative adoption as Yes (November 2018). Second pass: expansion implementation during the dashboard window is useful structured background, but should not automatically be the main blurb if a more state-specific event is available.",background_context,structural_background,verified_reputable_secondary,no,background_only
Idaho,ID,Expansion implementation details or follow-on policy actions noted by KFF,2020-01-01,,Medicaid expansion,"After a November 2018 ballot measure, Idaho sought waivers for changes to expansion, including a work requirement that was never approved.","Implementation details such as ballot measures, litigation, delayed implementation, or waiver conditions may help contextualize changes around expansion timing and program operations.",KFF State Health Facts: Status of State Action on the Medicaid Expansion Decision,https://www.kff.org/affordable-care-act/state-indicator/state-activity-around-expanding-medicaid-under-the-affordable-care-act/,kff,,high,"After a November 2018 ballot measure, Idaho sought waivers for changes to expansion, including a work requirement that was never approved.",needs_review,2026-06-22,"Pulled from KFF state-specific footnote on the expansion tracker. Second pass: expansion implementation during the dashboard window is useful structured background, but should not automatically be the main blurb if a more state-specific event is available.",background_context,structural_background,verified_reputable_secondary,no,background_only
Idaho,ID,Expansion trigger law in place as of May 2026,2026-05-21,,other,KFF reported that Idaho had an expansion trigger law in place as of May 2026 requiring state action to mitigate fiscal impact if the federal funding share drops.,"Expansion trigger laws may help contextualize policy stability, financing conditions, and how future enrollment changes should be interpreted.",KFF State Health Facts: Status of State Action on the Medicaid Expansion Decision,https://www.kff.org/affordable-care-act/state-indicator/state-activity-around-expanding-medicaid-under-the-affordable-care-act/,kff,,high,"Idaho had an expansion-related trigger law in place as of May 2026, a policy detail that may matter when interpreting longer-run expansion stability.",needs_review,2026-06-22,KFF footnote identifies this as a fiscal-mitigation trigger tied to federal funding. Second pass: structural background only; not a primary blurb candidate without additional state-specific support.,background_context,structural_background,verified_reputable_secondary,no,background_only
Idaho,ID,12-month postpartum Medicaid coverage extension implemented,2025-01-17,,postpartum extension,"KFF reported that Idaho had implemented a 12-month postpartum Medicaid coverage extension as of March 19, 2026. CMS approved Idaho's state plan amendment on January 17, 2025","Extended postpartum coverage may help contextualize postpartum retention, maternal coverage continuity, and program mix in public enrollment counts.",KFF Medicaid Postpartum Coverage Extension Tracker,https://www.kff.org/medicaid/medicaid-postpartum-coverage-extension-tracker/,kff,,high,"Idaho had implemented a 12-month postpartum Medicaid coverage extension by January 17, 2025, a policy context that may help explain postpartum coverage continuity in the dashboard period.",needs_review,2026-06-22,"CMS approved Idaho's state plan amendment on January 17, 2025 Second pass: retain as background; postpartum extension is useful but should not be the only blurb unless no stronger state-specific context is found.",background_context,weak_generic,verified_reputable_secondary,no,background_only
Illinois,IL,ACA Medicaid expansion in effect during dashboard period,2014-01-01,,Medicaid expansion,"KFF reported that Illinois implemented the ACA Medicaid expansion on January 1, 2014; because this predates 2019, it is included as structural context for the 2019-2026 dashboard period.","Expansion status may help contextualize adult enrollment levels, application volume, and state-to-state differences in program mix and coverage pathways.",KFF State Health Facts: Status of State Action on the Medicaid Expansion Decision,https://www.kff.org/affordable-care-act/state-indicator/state-activity-around-expanding-medicaid-under-the-affordable-care-act/,kff,,medium,"Illinois was an ACA Medicaid expansion state during the dashboard period, a structural difference that may help contextualize enrollment and operations patterns.",needs_review,2026-06-22,Implementation predates 2019 but shapes the program structure observed during the dashboard period. Second pass: retain as structured expansion background; too generic to use as the main dashboard blurb by itself.,background_context,structural_background,verified_reputable_secondary,no,background_only
Illinois,IL,Additional postpartum policy detail noted by KFF,2022-10-20,,immigrant eligibility,"CMS approved Illinois’ state plan amendment on October 20, 2022.","This additional design detail may help contextualize postpartum retention, eligibility pathways, or who is included in coverage extensions.",KFF Medicaid Postpartum Coverage Extension Tracker,https://www.kff.org/medicaid/medicaid-postpartum-coverage-extension-tracker/,kff,,high,Illinois also used a CHIP health services initiative to extend postpartum coverage for some people not eligible for Medicaid because of immigration status.,needs_review,2026-06-22,"Added because the KFF footnote includes a state-specific policy design detail beyond basic implementation status. Second pass: retained, but official state source row should be preferred if available.",background_context,state_specific,verified_reputable_secondary,no,background_only
Illinois,IL,Expansion trigger law in place as of May 2026,2026-05-21,,other,KFF reported that Illinois had an expansion trigger law in place as of May 2026 that requires termination of expansion if the federal funding share drops.,"Expansion trigger laws may help contextualize policy stability, financing conditions, and how future enrollment changes should be interpreted.",KFF State Health Facts: Status of State Action on the Medicaid Expansion Decision,https://www.kff.org/affordable-care-act/state-indicator/state-activity-around-expanding-medicaid-under-the-affordable-care-act/,kff,,high,"Illinois had an expansion-related trigger law in place as of May 2026, a policy detail that may matter when interpreting longer-run expansion stability.",needs_review,2026-06-22,KFF footnote identifies this as a termination trigger tied to federal funding. Second pass: structural background only; not a primary blurb candidate without additional state-specific support.,background_context,structural_background,verified_reputable_secondary,no,background_only
Illinois,IL,12-month postpartum Medicaid coverage extension implemented,2022-10-20,,postpartum extension,"KFF reported that Illinois had implemented a 12-month postpartum Medicaid coverage extension as of March 19, 2026. CMS approved Illinois’ state plan amendment on October 20, 2022.","Extended postpartum coverage may help contextualize postpartum retention, maternal coverage continuity, and program mix in public enrollment counts.",KFF Medicaid Postpartum Coverage Extension Tracker,https://www.kff.org/medicaid/medicaid-postpartum-coverage-extension-tracker/,kff,,high,"Illinois had implemented a 12-month postpartum Medicaid coverage extension by October 20, 2022, a policy context that may help explain postpartum coverage continuity in the dashboard period.",needs_review,2026-06-22,"CMS approved Illinois’ state plan amendment on October 20, 2022. Illinois also received approval for a CHIP state plan amendment to implement a health services initiative (HSI) to extend postpartum coverage from 60 days to 12 months under the CHIP unborn child option. This coverage applies to postpartum individuals who are not eligible for Medicaid due to immigration status. Second pass: retain as background; postpartum extension is useful but should not be the only blurb unless no stronger state-specific context is found.",background_context,weak_generic,verified_reputable_secondary,no,background_only
